Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
58,COUNT_UP,0.179328,1.196413,294.06,0.000000000,0.000000000,0.0000,0.248837,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
59,COUNT_UP,0.218726,1.244491,294.08,0.000000000,0.000000000,0.0000,0.308408,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
60,COUNT_UP,0.131075,1.140053,294.06,0.000000000,0.000000000,0.0000,0.217337,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
61,COUNT_UP,0.270464,1.310572,294.08,0.000000000,0.000000000,0.0000,0.323536,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
62,COUNT_UP,0.136998,1.146826,294.06,0.000000000,0.000000000,0.0000,0.232588,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
63,COUNT_UP,0.098271,1.103262,294.08,0.000000000,0.000000000,0.0000,0.161530,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
64,COUNT_UP,0.115917,1.122903,294.06,0.000000000,0.000000000,0.0000,0.158857,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
65,COUNT_UP,0.065627,1.067828,294.08,0.000000000,0.000000000,0.0000,0.109113,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
66,COUNT_UP,0.057483,1.059167,294.06,0.000000000,0.000000000,0.0000,0.101861,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
67,COUNT_UP,0.075006,1.077891,294.08,0.000000000,0.000000000,0.0000,0.153578,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
68,COUNT_UP,0.054365,1.055870,294.06,0.000000000,0.000000000,0.0000,0.104876,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
69,COUNT_UP,0.046865,1.047980,294.08,0.000000000,0.000000000,0.0000,0.085970,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
70,COUNT_UP,0.036360,1.037029,294.06,0.000000000,0.000000000,0.0000,0.063990,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
71,COUNT_UP,0.044314,1.045310,294.08,0.000000000,0.000000000,0.0000,0.081133,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
72,COUNT_UP,0.034750,1.035360,294.06,0.000000000,0.000000000,0.0000,0.070907,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
73,COUNT_UP,0.051012,1.052335,294.08,0.000000000,0.000000000,0.0000,0.090106,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
74,COUNT_UP,0.025597,1.025927,294.06,0.000000000,0.000000000,0.0000,0.050095,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
75,COUNT_UP,0.022394,1.022647,294.08,0.000000000,0.000000000,0.0000,0.045319,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
76,COUNT_UP,0.021957,1.022200,294.06,0.000000000,0.000000000,0.0000,0.045488,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
77,COUNT_UP,0.033152,1.033708,294.08,0.000000000,0.000000000,0.0000,0.065411,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
78,COUNT_UP,0.040759,1.041601,294.06,0.000000000,0.000000000,0.0000,0.079985,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
79,COUNT_UP,0.018037,1.018201,294.08,0.000000000,0.000000000,0.0000,0.038100,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
80,COUNT_UP,0.017219,1.017368,294.06,0.000000000,0.000000000,0.0000,0.033119,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
81,COUNT_UP,0.016849,1.016992,294.08,0.000000000,0.000000000,0.0000,0.035544,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
82,COUNT_UP,0.022745,1.023006,294.06,0.000000000,0.000000000,0.0000,0.054202,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
83,COUNT_UP,0.034749,1.035360,294.08,0.000000000,0.000000000,0.0000,0.091137,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
84,COUNT_UP,0.014406,1.014510,294.06,0.000000000,0.000000000,0.0000,0.029489,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
85,COUNT_UP,0.019712,1.019907,294.08,0.000000000,0.000000000,0.0000,0.050267,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
86,COUNT_UP,0.012819,1.012902,294.06,0.000000000,0.000000000,0.0000,0.026367,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
87,COUNT_UP,0.013212,1.013299,294.08,0.000000000,0.000000000,0.0000,0.030117,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
88,COUNT_UP,0.012135,1.012209,294.06,0.000000000,0.000000000,0.0000,0.025373,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
89,COUNT_UP,0.011871,1.011942,294.08,0.000000000,0.000000000,0.0000,0.024313,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
90,COUNT_UP,0.023758,1.024043,294.06,0.000000000,0.000000000,0.0000,0.066044,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
91,COUNT_UP,0.010841,1.010900,294.08,0.000000000,0.000000000,0.0000,0.020021,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
